"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type",Comment,Date,Impressions,Reach,Shares,Follows,Plays,Likes,Comments,Saves
17984530951909378,17841400521294771,aeromotive,"Aeromotive Fuel Systems","Following last week’s fuel filter theme, for this #TechTuesday, we are reminding you how important it is to replace your fuel filter elements. Not sure which element is in your filter? Visit the link in our bio to check out our Tech Help Bulletin to find out. 

.
.
.
.
.
.
📸@DownForMobbing

#Aeromotive #Aeromotivefueled #FuelFilters #SatisfyingVideos #BilletDrive #FuelSystems #DragRacing #1320 #CustomFuelSystem
https://fal.cn/3wdtN",14,"02/28/2023 16:02",https://www.instagram.com/reel/CpObQ9mIAUk/,"IG reel",,Lifetime,2920,2819,0,0,2855,54,0,0
17955788756278914,17841400521294771,aeromotive,"Aeromotive Fuel Systems","When you push your ride as hard as @MattField777 it pays to do preventative maintenance. Visit the link in our bio to check out our Fuel Pressure Regulator Service Kits so you can keep your Aeromotive FPR in tip-top shape.

.
.
.
.
.
.
📸@MattField777

#Aeromotive #AeromotiveFueled #HowToVideos #FuelSystemHowTo #FuelPressureRegulator #MattFied #FormulaDrift #C6Corvette #DriftVette https://fal.cn/3wbsC",130,"02/27/2023 16:02",https://www.instagram.com/reel/CpL6fn4KNd0/,"IG reel",,Lifetime,7811,7764,7,2,7603,180,1,19
18200747869242650,17841400521294771,aeromotive,"Aeromotive Fuel Systems","We’ve all had those days, but luckily our Direct Drop-In Pumps are plug-and-play installations. Visit the link in our bio to shop our model-specific kits!


.
.
.
.
.
.
📸@ChrisFixit

#Aeromotive #AeromotiveFueled #FuelSystem #FuelPump #FuelRails #CarMemes #DIY #1320 
https://fal.cn/3w2HQ",5,"02/26/2023 12:02",https://www.instagram.com/reel/CpI2MvQr10r/,"IG reel",,Lifetime,8182,8109,121,0,8106,238,2,15
17884170482796741,17841400521294771,aeromotive,"Aeromotive Fuel Systems","If you're in the Detroit area and looking for somewhere warm and cozy to hang out, come to the Detroit Autorama– we’re here with Arrington Performance so we’re easy to spot upstairs on the main floor at the south end. Come check out our newest products, and get your ride ready for car show season.",0,"02/24/2023 12:02",https://www.instagram.com/p/CpDwFUcIIOO/,"IG carousel",,Lifetime,1904,1505,0,1,0,80,1,4
18279406189108592,17841400521294771,aeromotive,"Aeromotive Fuel Systems","Where are our Civic fans? This minty EF Civic has a clean engine bay that beautifully showcases our A1000 Fuel Pressure Regulator. What do you run on your Civic?",0,"02/23/2023 13:02",https://www.instagram.com/p/CpBOv8mI5Hl/,"IG carousel",,Lifetime,2226,1915,0,2,0,60,1,3
17870668979845843,17841400521294771,aeromotive,"Aeromotive Fuel Systems","Alex Taylor is making waves again, this time with a 6-second average at SickWeek! Our Extreme Custom Spur Gear Pump keeps her STREET-LEGAL ‘55 Chevy ready to kick asphalt.",0,"02/22/2023 12:02",https://www.instagram.com/p/Co-mgVFIulE/,"IG carousel",,Lifetime,2342,1990,3,0,0,88,1,4
18082080286330406,17841401066203743,turn14,"Turn 14 Distribution","Unbeatable power packed into a convenient, OEM drop-in for your late model Mustang. Get up to 1800hp running E85 – @aeromotive’s product is the perfect pump to keep Camaro’s in the review mirror. Available in Brushless A1000, Eliminator, 3.5 and 5.0GPM true variable speed applications.
#Turn14 #Turn14Distribution #Aeromotive #AeromotiveFueled #DragStang #1320 #FordMustang #NMRA #NMCA",46,"02/22/2023 09:02",https://www.instagram.com/reel/Co-Q0OkPnOq/,"IG reel",,Lifetime,0,0,2,0,4747,106,2,2
18001931632619310,17841400521294771,aeromotive,"Aeromotive Fuel Systems","This #TechTuesday, we are giving you the fuel filter cheat sheet. Visit the link in our bio to watch a video explaining the anatomy of our filters.

.
.
.
.
.
.
.
https://fal.cn/3w2EC",0,"02/21/2023 15:02",https://www.instagram.com/p/Co8X91Oq64d/,"IG image",,Lifetime,3608,3538,1,0,0,65,1,4
18268391479187168,17841400521294771,aeromotive,"Aeromotive Fuel Systems","The Hoonigan Ute looks so mean. And since it’s fueled by Aeromotive, we know it is.

Parts: 450 LPH In-Tank Fuel Pump, Compact EFI Regulator and Fitting Kit. 
.
.
.
.
.
#Aeromotive #AeromotiveFueled #Ute #HoldenUte #UteInTheUSA #Holden #Hoonigan #HooniganUte 
https://fal.cn/3w0QP",0,"02/20/2023 16:02",https://www.instagram.com/p/Co53qpsIZj9/,"IG image",,Lifetime,1505,1374,4,1,0,75,12,2
17928440408642109,17841400521294771,aeromotive,"Aeromotive Fuel Systems","Need a reliable way to fuel your race machine? Our Brushless A1000 Fuel Pump is the right fit for this pickup. Click the link in our bio to see if it’s right for you too!

.
.
.

.
.
.
.
.

📸@sandstreetmotorsports

#Aeromotive #AeromotiveFueled #ToyotaTacoma #TacoGang #DirtRacing #1320 #DragRacing #DragTruck
https://fal.cn/3vU4t",10,"02/19/2023 14:02",https://www.instagram.com/reel/Co3CY1goisG/,"IG reel",,Lifetime,1668,1593,1,0,1663,46,0,0
